date,close
2020-03-18,120.2078
2020-03-19,123.4805
2020-03-20,132.7657
2020-03-23,138.2369
2020-03-24,135.6637
2020-03-25,135.3556
2020-03-26,136.0218
2020-03-27,139.6526
2020-03-30,138.5034
2020-03-31,137.3792
2020-04-01,139.3039
2020-04-02,140.1879
2020-04-03,140.5215
2020-04-06,140.1546
2020-04-07,138.6868
2020-04-08,137.6777
2020-04-09,137.9279
2020-04-13,136.6686
2020-04-14,136.6353
2020-04-15,140.2547
2020-04-16,141.8475
2020-04-17,139.9461
2020-04-20,141.0719
2020-04-21,142.8483
2020-04-22,141.3888
2020-04-23,142.1394
2020-04-24,142.473
2020-04-27,139.821
2020-04-28,141.4305
2020-04-29,140.6966
2020-04-30,139.0538
2020-05-01,140.2445
2020-05-04,139.5848
2020-05-05,138.6913
2020-05-06,136.4534
2020-05-07,138.7331
2020-05-08,136.9294
2020-05-11,135.8606
2020-05-12,137.2551
2020-05-13,138.2154
2020-05-14,139.5681
2020-05-15,139.2091
2020-05-18,136.1528
2020-05-19,136.6622
2020-05-20,137.0714
2020-05-21,137.4137
2020-05-22,138.2404
2020-05-26,136.3866
2020-05-27,136.1361
2020-05-28,135.6351
2020-05-29,136.6038
2020-06-01,135.684
2020-06-02,135.1907
2020-06-03,133.3931
2020-06-04,131.4617
2020-06-05,130.5252
2020-06-08,131.0269
2020-06-09,132.5152
2020-06-10,134.48
2020-06-11,137.0218
2020-06-12,135.7008
2020-06-15,135.776
2020-06-16,133.6941
2020-06-17,134.2459
2020-06-18,135.6673
2020-06-19,135.776
2020-06-22,135.7927
2020-06-23,134.8646
2020-06-24,136.3111
2020-06-25,136.7041
2020-06-26,138.1673
2020-06-29,137.7325
2020-06-30,137.0636
2020-07-01,136.7974
2020-07-02,136.9397
2020-07-06,136.3789
2020-07-07,138.2958
2020-07-08,137.7433
2020-07-09,139.9365
2020-07-10,139.2334
2020-07-13,139.6938
2020-07-14,139.8947
2020-07-15,139.2417
2020-07-16,139.903
2020-07-17,139.61
2020-07-20,139.9533
2020-07-21,140.037
2020-07-22,140.4555
2020-07-23,142.0962
2020-07-24,142.0878
2020-07-27,141.5605
2020-07-28,142.5399
2020-07-29,142.2971
2020-07-30,143.2347
2020-07-31,143.1426
2020-08-03,142.4219
2020-08-04,143.7795
2020-08-05,142.5224
2020-08-06,143.3186
2020-08-07,142.3632
2020-08-10,141.7263
2020-08-11,140.0419
2020-08-12,138.7681
2020-08-13,137.2848
2020-08-14,136.7485
2020-08-17,137.0921
2020-08-18,138.0725
2020-08-19,137.2094
2020-08-20,138.4496
2020-08-21,139.2793
2020-08-24,139.053
2020-08-25,137.9887
2020-08-26,137.4608
2020-08-27,135.1227
2020-08-28,135.0221
2020-08-31,135.9188
2020-09-01,137.4734
2020-09-02,138.7822
2020-09-03,139.1765
2020-09-04,136.5338
2020-09-08,137.3728
2020-09-09,137.0036
2020-09-10,137.7
2020-09-11,137.9936
2020-09-14,137.9852
2020-09-15,137.6496
2020-09-16,137.2385
2020-09-17,137.658
2020-09-18,137.2301
2020-09-21,137.9265
2020-09-22,137.8174
2020-09-23,138.002
2020-09-24,138.5305
2020-09-25,138.5305
2020-09-28,138.1362
2020-09-29,138.2956
2020-09-30,136.97
2020-10-01,137.196
2020-10-02,136.6837
2020-10-05,134.013
2020-10-06,134.7352
2020-10-07,133.7526
2020-10-08,134.4749
2020-10-09,134.4497
2020-10-12,134.878
2020-10-13,135.8438
2020-10-14,136.1546
2020-10-15,135.9194
2020-10-16,135.5415
2020-10-19,135.0292
2020-10-20,133.7442
2020-10-21,133.2823
2020-10-22,131.8966
2020-10-23,132.7028
2020-10-26,133.9374
2020-10-27,134.836
2020-10-28,134.962
2020-10-29,133.6518
2020-10-30,132.3333
2020-11-02,133.3245
2020-11-03,132.5511
2020-11-04,135.4264
2020-11-05,135.6618
2020-11-06,134.0223
2020-11-09,131.2059
2020-11-10,130.4492
2020-11-11,130.92
2020-11-12,133.148
2020-11-13,132.9714
2020-11-16,132.6519
